version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method,anchor_status,selection_policy,performance_count
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,1000M,track,1,17,"1000 || 2:37.72 || Sophia Gorrorian (Harvard) || Boston, Massachusetts || 2/22/26","1000 2:37.72 Sophia Gorrorian (Harvard) Boston, Massachusetts 2/22/26",2:37.72,157.72,,False,False,False,False,False,Sophia Gorrorian,Harvard,2/22/26,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,18538
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,200M,track,1,8,"200 || 22.01(A) || Julien Alfred’ (Texas) || Albuquerque, New Mexico || 3/11/23","200 22.01(A) Julien Alfred’ (Texas) Albuquerque, New Mexico 3/11/23",22.01,22.01,(A),False,False,True,False,False,Julien Alfred’,Texas,3/11/23,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,108556
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,3000M,track,1,21,"3000 || 8:31.39 || Doris Lemngole’ (Alabama). || New York, New York || 2/01/26","3000 8:31.39 Doris Lemngole’ (Alabama). New York, New York 2/01/26",8:31.39,511.39,,False,False,False,False,False,Doris Lemngole’,Alabama,2/01/26,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,73710
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,300M,track,1,10,"300 || 35.80 || Abby Steiner (Kentucky) || Louisville, Kentucky || 12/11/21","300 35.80 Abby Steiner (Kentucky) Louisville, Kentucky 12/11/21",35.80,35.8,,False,False,False,False,False,Abby Steiner,Kentucky,12/11/21,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,10062
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,400M,track,1,11,"400 || 49.24 || Bella Whittaker (Arkansas) || Virginia Beach, Virginia || 3/15/25","400 49.24 Bella Whittaker (Arkansas) Virginia Beach, Virginia 3/15/25",49.24,49.24,,False,False,False,False,False,Bella Whittaker,Arkansas,3/15/25,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,83944
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,5000M,track,1,23,"5000 || 14:44.79 || Jane Hedengren (BYU) || Boston, Massachusetts || 12/06/25","5000 14:44.79 Jane Hedengren (BYU) Boston, Massachusetts 12/06/25",14:44.79,884.79,,False,False,False,False,False,Jane Hedengren,BYU,12/06/25,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,27902
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,500M,track,1,12,"500 || 1:08.40 || Sage Watson’ (Arizona) || New York, New York || 2/03/17","500 1:08.40 Sage Watson’ (Arizona) New York, New York 2/03/17",1:08.40,68.4,,False,False,False,False,False,Sage Watson’,Arizona,2/03/17,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,14914
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,600M,track,1,14,"600 || 1:24.19 || Sanu Jallow-Lockhart’ (Arkansas) || Fayetteville, Arkansas || 1/16/26","600 1:24.19 Sanu Jallow-Lockhart’ (Arkansas) Fayetteville, Arkansas 1/16/26",1:24.19,84.19,,False,False,False,False,False,Sanu Jallow-Lockhart’,Arkansas,1/16/26,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,12275
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,60H,track,1,25,"60 Hurdles || 7.72(A) || Ackera Nugent’ (Arkansas) || Albuquerque, New Mexico || 3/10/23","60 Hurdles 7.72(A) Ackera Nugent’ (Arkansas) Albuquerque, New Mexico 3/10/23",7.72,7.72,(A),False,False,True,False,False,Ackera Nugent’,Arkansas,3/10/23,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,116383
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,60M,track,1,3,"60 || 6.94(A) || Julien Alfred’ (Texas) || Albuquerque, New Mexico || 3/11/23","60 6.94(A) Julien Alfred’ (Texas) Albuquerque, New Mexico 3/11/23",6.94,6.94,(A),False,False,True,False,False,Julien Alfred’,Texas,3/11/23,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,124173
