check_name,status,observed,expected,details
all_required_inputs_exist,PASS,0,0,
candidate_registry_has_rows,PASS,584,at least 100,
requirement_registry_has_126_rows,PASS,126,126,
only_table_parser_candidates_accepted,PASS,0,0,
official_scoring_anchor_count,PASS,82,82,
active_anchor_keys_unique,PASS,0,0,
unsupported_55m_events_removed,PASS,0,0,
pending_active_anchor_count,PASS,8,8,
verified_outside_anchor_count,FAIL,0,5,
sentinel_outdoor_m_800M,FAIL,1:41.77|False|False,1:41.77|False|True,
sentinel_outdoor_m_1500M,FAIL,3:31.04|False|False,3:31.04|False|True,
sentinel_outdoor_m_HT,FAIL,82.56|False|False,82.56|False|True,
sentinel_outdoor_f_HJ,FAIL,2.03|False|False,2.03|False|True,
sentinel_outdoor_f_HEP,FAIL,6755|False|False,6755|False|True,
sentinel_outdoor_f_100M,PASS,10.63|True|False,10.63|True|False,
sentinel_outdoor_f_200M,PASS,21.68|True|False,21.68|True|False,
sentinel_outdoor_f_400M,PASS,48.79|True|False,48.79|True|False,
sentinel_outdoor_f_800M,PASS,1:56.85|True|False,1:56.85|True|False,
sentinel_outdoor_f_10000M,PASS,30:46.80|True|False,30:46.80|True|False,
sentinel_outdoor_m_110H,PASS,12.75|True|False,12.75|True|False,
sentinel_outdoor_m_200M,PASS,19.63|True|False,19.63|True|False,
sentinel_outdoor_m_400M,PASS,43.38|True|False,43.38|True|False,
sentinel_indoor_f_HJ,PASS,2.00|False|False,2.00|False|False,
sentinel_indoor_m_HJ,PASS,2.37|False|False,2.37|False|False,
sentinel_outdoor_m_HJ,PASS,2.38|False|False,2.38|False|False,
all_high_jump_marks_realistic,PASS,"['2.00', '2.37', '2.03', '2.38']",all between 1.50 and 2.60 meters,
all_outside_anchors_tfn_verified,PASS,0,0,
all_inputs_unchanged,PASS,"{'record_candidates': '42bc52d38c9cf35c76c3083241f6e805bcd0e5b82d53331fb6270691ba818f3b', 'record_requirements': '3b316177170ae53aee77342cfb0b7ec1572e3655e877289c87892aa8c053923d', 'source_manifest': '17f743a6beffe6d1c6ea7259c4afedaa4d72f461a72802200c825cefa01328ad'}","{'record_candidates': '42bc52d38c9cf35c76c3083241f6e805bcd0e5b82d53331fb6270691ba818f3b', 'record_requirements': '3b316177170ae53aee77342cfb0b7ec1572e3655e877289c87892aa8c053923d', 'source_manifest': '17f743a6beffe6d1c6ea7259c4afedaa4d72f461a72802200c825cefa01328ad'}",
