version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method,rejection_reason
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,800M,track,1,8,"(American CR) || 1:43.55 || Donavan Brazier (Texas A&M) || Eugene, Oregon || 6/10/16","(American CR) 1:43.55 Donavan Brazier (Texas A&M) Eugene, Oregon 6/10/16",1:43.55,103.55,,False,False,False,True,False,Donavan Brazier,Texas A&M,6/10/16,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,3000SC,track,1,14,"(American CR) || 8:16.23 || Duncan Hamilton (Montana State) || Sacramento, California || 5/26/23","(American CR) 8:16.23 Duncan Hamilton (Montana State) Sacramento, California 5/26/23",8:16.23,496.23,,False,False,False,True,False,Duncan Hamilton,Montana State,5/26/23,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,10000M,track,1,18,"(American CR) || 26:52.72 || Nico Young (Northern Arizona) || San Juan Capistrano, California || 3/15/24","(American CR) 26:52.72 Nico Young (Northern Arizona) San Juan Capistrano, California 3/15/24",26:52.72,1612.72,,False,False,False,True,False,Nico Young,Northern Arizona,3/15/24,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,400H,track,1,22,"(American CR) || 47.23 || Caleb Dean (Texas Tech) || Eugene, Oregon || 6/07/24","(American CR) 47.23 Caleb Dean (Texas Tech) Eugene, Oregon 6/07/24",47.23,47.23,,False,False,False,True,False,Caleb Dean,Texas Tech,6/07/24,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,LJ,field,3,7,"(low-altitude) || 8.59 | 28-2¼i || Miguel Pate (Alabama) || New York, New York || 3/01/02","(low-altitude) 8.59 | 28-2¼i Miguel Pate (Alabama) New York, New York 3/01/02",8.59,8.59,,False,False,False,True,False,| 28-2¼i Miguel Pate,Alabama,3/01/02,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,TJ,field,3,9,"(American CR) || 17.54 | 57-6½ || Mike Conley (Arkansas) || Austin, Texas || 6/01/85","(American CR) 17.54 | 57-6½ Mike Conley (Arkansas) Austin, Texas 6/01/85",17.54,17.54,,False,False,False,True,False,| 57-6½ Mike Conley,Arkansas,6/01/85,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,DT,field,3,12,"(American CR) || 67.45 | 221-3 || Sam Mattis (Penn) || Philadelphia, Pennsylvania || 3/19/16","(American CR) 67.45 | 221-3 Sam Mattis (Penn) Philadelphia, Pennsylvania 3/19/16",67.45,67.45,,False,False,False,True,False,| 221-3 Sam Mattis,Penn,3/19/16,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,HT,field,3,15,"(American CR) || 78.34 | 257-0 || Ken Flax (Oregon) || Indianapolis, Indiana || 6/07/86","(American CR) 78.34 | 257-0 Ken Flax (Oregon) Indianapolis, Indiana 6/07/86",78.34,78.34,,False,False,False,True,False,| 257-0 Ken Flax,Oregon,6/07/86,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,JT,field,3,18,"(American CR) || 83.28 | 273-3 || Tom Pukstys (Florida) || Gainesville, Florida || 4/28/90","(American CR) 83.28 | 273-3 Tom Pukstys (Florida) Gainesville, Florida 4/28/90",83.28,83.28,,False,False,False,True,False,| 273-3 Tom Pukstys,Florida,4/28/90,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,DEC,multi,4,3,"10.64, 7.86/25-9½,17.46/57-3½, 2.07/ 6-9½, 48.03 [4685], 14.36, 57.70/189-4, 5.21/17-, 56.64/185-10, 4:44.61 [4276]","10.64, 7.86/25-9½,17.46/57-3½, 2.07/ 6-9½, 48.03 [4685], 14.36, 57.70/189-4, 5.21/17-, 56.64/185-10, 4:44.61 [4276]",10.64,10.64,,False,False,False,False,False,", 7.86/25-9½,17.46/57-3½, 2.07/ 6-9½, 48.03 [4685], 14.36, 57.70/189-4, 5.21/17-, 56.64/185-10, 4:44.61 [4276]",,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_implausible_event_mark
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,DEC,multi,4,4,"(American CR) || 8720 || Kyle Garland (Georgia) || Fayetteville, Arkansas || 5/06-07/22","(American CR) 8720 Kyle Garland (Georgia) Fayetteville, Arkansas 5/06-07/22",8720,8720.0,,False,False,False,True,False,Kyle Garland,Georgia,5/06-07/22,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,reject_secondary_sublisting
