check_name,status,observed,expected,details
input_anchor_registry_exists,PASS,True,True,
anchor_row_count,PASS,82,82,
anchor_keys_unique,PASS,0,0,
all_override_keys_present,PASS,"[('outdoor', 'f', 'HEP'), ('outdoor', 'f', 'HJ'), ('outdoor', 'm', '1500M'), ('outdoor', 'm', '800M'), ('outdoor', 'm', 'HT')]","[('outdoor', 'f', 'HEP'), ('outdoor', 'f', 'HJ'), ('outdoor', 'm', '1500M'), ('outdoor', 'm', '800M'), ('outdoor', 'm', 'HT')]",
outside_season_anchor_count,PASS,5,5,
pending_anchor_count,PASS,8,8,
unsupported_55m_events_absent,PASS,0,0,
high_jump_marks_realistic,PASS,"['2.00', '2.37', '2.03', '2.38']",all between 1.50 and 2.60 meters,
override_outdoor_m_800M,PASS,1:41.77|True|True,1:41.77|True|True,
override_outdoor_m_1500M,PASS,3:31.04|True|True,3:31.04|True|True,
override_outdoor_m_HT,PASS,82.56|True|True,82.56|True|True,
override_outdoor_f_HJ,PASS,2.03|True|True,2.03|True|True,
override_outdoor_f_HEP,PASS,6755|True|True,6755|True|True,
input_registry_unchanged,PASS,d9c24b2dabea3856e42f256b580dd996270a534dec1c6c03ff2f5640261ca60d,d9c24b2dabea3856e42f256b580dd996270a534dec1c6c03ff2f5640261ca60d,
