season_type,canonical_gender_code,canonical_event_code,candidate_count,present_in_performance_requirements,production_scoring_event
indoor,f,1000M,2,True,True
indoor,f,1500M,3,True,True
indoor,f,200M,3,True,True
indoor,f,3000M,3,True,True
indoor,f,300M,2,True,True
indoor,f,400M,2,True,True
indoor,f,5000M,2,True,True
indoor,f,500M,3,True,True
indoor,f,50H,2,False,False
indoor,f,50M,2,False,False
indoor,f,600M,3,True,True
indoor,f,60H,4,True,True
indoor,f,60M,7,True,True
indoor,f,800M,2,True,True
indoor,f,HJ,6,True,True
indoor,f,LJ,3,True,True
indoor,f,MILE,2,True,True
indoor,f,PENT,3,True,True
indoor,f,PV,2,True,True
indoor,f,SP,3,True,True
indoor,f,TJ,4,True,True
indoor,f,WT,2,True,True
indoor,m,1000M,2,True,True
indoor,m,1500M,2,True,True
indoor,m,2000M,3,False,False
indoor,m,200M,2,True,True
indoor,m,2MILE,2,False,False
indoor,m,3000M,2,True,True
indoor,m,300M,2,True,True
indoor,m,400M,3,True,True
indoor,m,5000M,2,True,True
indoor,m,500M,3,True,True
indoor,m,50H,2,False,False
indoor,m,50M,3,False,False
indoor,m,600M,2,True,True
indoor,m,60H,2,True,True
indoor,m,60M,5,True,True
indoor,m,800M,2,True,True
indoor,m,HEP,3,True,True
indoor,m,HJ,3,True,True
indoor,m,LJ,2,True,True
indoor,m,MILE,2,True,True
indoor,m,PV,5,True,True
indoor,m,SP,2,True,True
indoor,m,TJ,3,True,True
indoor,m,WT,2,True,True
outdoor,f,10000M,4,True,True
outdoor,f,100H,2,True,True
outdoor,f,100M,4,True,True
outdoor,f,1500M,2,True,True
outdoor,f,200M,5,True,True
outdoor,f,3000M,2,True,True
outdoor,f,3000SC,3,True,True
outdoor,f,400H,3,True,True
outdoor,f,400M,7,True,True
outdoor,f,5000M,2,True,True
outdoor,f,800M,4,True,True
outdoor,f,DT,3,True,True
outdoor,f,HEP,4,True,True
outdoor,f,HJ,7,True,True
outdoor,f,HT,3,True,True
outdoor,f,JT,3,True,True
outdoor,f,LJ,2,True,True
outdoor,f,MILE,4,True,True
outdoor,f,PV,2,True,True
outdoor,f,SP,2,True,True
outdoor,f,TJ,3,True,True
outdoor,m,10000M,4,True,True
outdoor,m,100M,2,True,True
outdoor,m,110H,4,True,True
outdoor,m,1500M,5,True,True
outdoor,m,200M,4,True,True
outdoor,m,3000M,2,True,True
outdoor,m,3000SC,5,True,True
outdoor,m,400H,3,True,True
outdoor,m,400M,5,True,True
outdoor,m,5000M,2,True,True
outdoor,m,800M,4,True,True
outdoor,m,DEC,3,True,True
outdoor,m,DT,5,True,True
outdoor,m,HJ,2,True,True
outdoor,m,HT,6,True,True
outdoor,m,JT,3,True,True
outdoor,m,LJ,3,True,True
outdoor,m,MILE,2,True,True
outdoor,m,PV,8,True,True
outdoor,m,SP,2,True,True
outdoor,m,TJ,3,True,True
