version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,200M,track,1,4,"19.63p || Jaiden Reid’ (LSU) || Eugene, Oregon || 6/12/26","19.63p Jaiden Reid’ (LSU) Eugene, Oregon 6/12/26",19.63,19.63,p,True,False,False,False,False,Jaiden Reid’,LSU,6/12/26,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,400M,track,1,6,"43.38p || Samuel Ogazi’ (Alabama) || Eugene, Oregon || 6/12/26","43.38p Samuel Ogazi’ (Alabama) Eugene, Oregon 6/12/26",43.38,43.38,p,True,False,False,False,False,Samuel Ogazi’,Alabama,6/12/26,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,1500M,track,1,10,"3:31.69p || Simeon Birnbaum (Oregon) || Eugene, Oregon || 4/18/26","3:31.69p Simeon Birnbaum (Oregon) Eugene, Oregon 4/18/26",3:31.69,211.69,p,True,False,False,False,False,Simeon Birnbaum,Oregon,4/18/26,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,3000SC,track,1,15,"8:11.92p || Nathan Mountain (Virginia) || Charlottesville, Virginia || 4/17/26","8:11.92p Nathan Mountain (Virginia) Charlottesville, Virginia 4/17/26",8:11.92,491.92,p,True,False,False,False,False,Nathan Mountain,Virginia,4/17/26,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,110H,track,1,20,"12.75p || Ja’kobe Tharp (Auburn) || Eugene, Oregon || 6/10/26","12.75p Ja’kobe Tharp (Auburn) Eugene, Oregon 6/10/26",12.75,12.75,p,True,False,False,False,False,Ja’kobe Tharp,Auburn,6/10/26,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,200M,track,0,7,"19.63p || Jaiden Reid’ (LSU) || Eugene, Oregon","19.63p Jaiden Reid’ (LSU) Eugene, Oregon",19.63,19.63,p,True,False,False,False,False,Jaiden Reid’,LSU,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,fallback
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,400M,track,0,12,"43.38p || Samuel Ogazi’ (Alabama) || Eugene, Oregon","43.38p Samuel Ogazi’ (Alabama) Eugene, Oregon",43.38,43.38,p,True,False,False,False,False,Samuel Ogazi’,Alabama,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,fallback
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,1500M,track,0,22,"3:31.69p || Simeon Birnbaum (Oregon) || Eugene, Oregon","3:31.69p Simeon Birnbaum (Oregon) Eugene, Oregon",3:31.69,211.69,p,True,False,False,False,False,Simeon Birnbaum,Oregon,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,fallback
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,3000SC,track,0,33,"8:11.92p || Nathan Mountain (Virginia) || Charlottesville, Virginia","8:11.92p Nathan Mountain (Virginia) Charlottesville, Virginia",8:11.92,491.92,p,True,False,False,False,False,Nathan Mountain,Virginia,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,fallback
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,110H,track,0,46,"12.75p || Ja’kobe Tharp (Auburn) || Eugene, Oregon","12.75p Ja’kobe Tharp (Auburn) Eugene, Oregon",12.75,12.75,p,True,False,False,False,False,Ja’kobe Tharp,Auburn,,"June 16, 2026",https://trackandfieldnews.com/records/mens-collegiate-records/,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,fallback
