season_type,canonical_gender_code,canonical_event_code,performance_count,ratified_main_candidate_count,pending_main_candidate_count,active_candidate_selected,coverage_status
indoor,f,1000M,18538,4,0,True,active_candidate_selected
indoor,f,200M,108556,6,0,True,active_candidate_selected
indoor,f,3000M,73710,5,0,True,active_candidate_selected
indoor,f,300M,10062,4,0,True,active_candidate_selected
indoor,f,400M,83944,4,0,True,active_candidate_selected
indoor,f,5000M,27902,4,0,True,active_candidate_selected
indoor,f,500M,14914,6,0,True,active_candidate_selected
indoor,f,55H,6819,0,0,False,manual_anchor_policy_required
indoor,f,55M,8441,0,0,False,manual_anchor_policy_required
indoor,f,600M,12275,6,0,True,active_candidate_selected
indoor,f,60H,116383,8,0,True,active_candidate_selected
indoor,f,60M,124173,12,0,True,active_candidate_selected
indoor,f,800M,90203,4,0,True,active_candidate_selected
indoor,f,HJ,64797,6,0,True,active_candidate_selected
indoor,f,LJ,89040,5,0,True,active_candidate_selected
indoor,f,MILE,88095,3,0,True,active_candidate_selected
indoor,f,PENT,15217,8,0,True,active_candidate_selected
indoor,f,PV,46971,3,0,True,active_candidate_selected
indoor,f,SP,84968,5,0,True,active_candidate_selected
indoor,f,TJ,43783,6,0,True,active_candidate_selected
indoor,f,WT,70388,3,0,True,active_candidate_selected
indoor,m,1000M,27467,4,0,True,active_candidate_selected
indoor,m,200M,79748,4,0,True,active_candidate_selected
indoor,m,3000M,68362,4,0,True,active_candidate_selected
indoor,m,300M,7854,4,0,True,active_candidate_selected
indoor,m,400M,72348,6,0,True,active_candidate_selected
indoor,m,5000M,28070,4,0,True,active_candidate_selected
indoor,m,500M,13974,8,0,True,active_candidate_selected
indoor,m,55H,5269,0,0,False,manual_anchor_policy_required
indoor,m,55M,7586,0,0,False,manual_anchor_policy_required
indoor,m,600M,10238,4,0,True,active_candidate_selected
indoor,m,60H,84213,4,0,True,active_candidate_selected
indoor,m,60M,113685,8,0,True,active_candidate_selected
indoor,m,800M,66073,4,0,True,active_candidate_selected
indoor,m,HJ,46093,3,0,True,active_candidate_selected
indoor,m,LJ,64702,3,0,True,active_candidate_selected
indoor,m,MILE,76384,3,0,True,active_candidate_selected
indoor,m,PV,46630,6,0,True,active_candidate_selected
indoor,m,SP,68014,3,0,True,active_candidate_selected
indoor,m,TJ,30848,5,0,True,active_candidate_selected
indoor,m,WT,54196,3,0,True,active_candidate_selected
outdoor,f,10000M,16639,5,2,True,active_candidate_selected
outdoor,f,100H,92453,4,0,True,active_candidate_selected
outdoor,f,100M,96892,5,2,True,active_candidate_selected
outdoor,f,1500M,119058,4,0,True,active_candidate_selected
outdoor,f,200M,124686,6,2,True,active_candidate_selected
outdoor,f,3000M,18468,4,0,True,active_candidate_selected
outdoor,f,3000SC,29546,4,0,True,active_candidate_selected
outdoor,f,400H,61160,6,0,True,active_candidate_selected
outdoor,f,400M,81986,9,2,True,active_candidate_selected
outdoor,f,5000M,63448,4,0,True,active_candidate_selected
outdoor,f,800M,113579,37,4,True,active_candidate_selected
outdoor,f,DT,66860,5,0,True,active_candidate_selected
outdoor,f,HEP,11804,9,0,True,active_candidate_selected
outdoor,f,HJ,60786,7,0,True,active_candidate_selected
outdoor,f,HT,69393,4,0,True,active_candidate_selected
outdoor,f,JT,66176,5,0,True,active_candidate_selected
outdoor,f,LJ,84712,3,0,True,active_candidate_selected
outdoor,f,PV,47696,3,0,True,active_candidate_selected
outdoor,f,SP,77174,3,0,True,active_candidate_selected
outdoor,f,TJ,44839,5,0,True,active_candidate_selected
outdoor,m,10000M,18636,7,0,True,active_candidate_selected
outdoor,m,100M,92862,4,0,True,active_candidate_selected
outdoor,m,110H,66133,5,2,True,active_candidate_selected
outdoor,m,1500M,113309,6,2,True,active_candidate_selected
outdoor,m,200M,85641,5,2,True,active_candidate_selected
outdoor,m,3000M,13747,4,0,True,active_candidate_selected
outdoor,m,3000SC,30665,6,2,True,active_candidate_selected
outdoor,m,400H,52108,6,0,True,active_candidate_selected
outdoor,m,400M,84640,6,2,True,active_candidate_selected
outdoor,m,5000M,63580,4,0,True,active_candidate_selected
outdoor,m,800M,95167,7,0,True,active_candidate_selected
outdoor,m,DEC,9141,10,0,True,active_candidate_selected
outdoor,m,DT,74470,8,0,True,active_candidate_selected
outdoor,m,HJ,44711,3,0,True,active_candidate_selected
outdoor,m,HT,54625,9,0,True,active_candidate_selected
outdoor,m,JT,50968,5,0,True,active_candidate_selected
outdoor,m,LJ,63052,5,0,True,active_candidate_selected
outdoor,m,PV,44804,9,0,True,active_candidate_selected
outdoor,m,SP,64427,3,0,True,active_candidate_selected
outdoor,m,TJ,32072,5,0,True,active_candidate_selected
